sample,reaction,weight
WT1,2AGPEAT160,0.0
WT1,2AGPEAT180,0.0
WT1,5DGLCNR,-1.0
WT1,AACPS10,0.0
WT1,AACPS11,0.0
WT1,AACPS3,0.0
WT1,ABTA,0.0
WT1,ACACT1r,1.0
WT1,ACALDi,1.0
WT1,ACBIPGT,0.0
WT1,ACCC,0.0
WT1,ACChex,0.0
WT1,ACGAMPM,0.0
WT1,ACGAMT,0.0
WT1,ACGK,0.0
WT1,ACGS,0.0
WT1,ACHBS,0.0
WT1,ACKr,0.0
WT1,ACLS,0.0
WT1,ACODA,0.0
WT1,ACONT,0.0
WT1,ACOTA,0.0
WT1,ACP1_FMN,0.0
WT1,ACPS1,0.0
WT1,ACS,0.0
WT1,ACS2,0.0
WT1,ACYSBMNt,0.0
WT1,ADA,-1.0
WT1,ADCL,0.0
WT1,ADCPS1,0.0
WT1,ADCPS2,0.0
WT1,ADCS,0.0
WT1,ADCYRS,-1.0
WT1,ADK1,0.0
WT1,ADK2,0.0
WT1,ADMDCr,0.0
WT1,ADNCYC,1.0
WT1,ADNK1,1.0
WT1,ADNK3,1.0
WT1,ADNK4,1.0
WT1,ADOCBIK,0.0
WT1,ADOCBLS,0.0
WT1,ADPT,0.0
WT1,ADSK,1.0
WT1,ADSL1r,0.0
WT1,ADSL2r,0.0
WT1,ADSS,0.0
WT1,AFTA,-1.0
WT1,AGDC,0.0
WT1,AGMT,0.0
WT1,AGPAT160,1.0
WT1,AGPAT160190,1.0
WT1,AGPAT190,1.0
WT1,AGPR,0.0
WT1,AHC,0.0
WT1,AHCYSNS,0.0
WT1,AHMMPS,0.0
WT1,AICART,0.0
WT1,AIRCr,0.0
WT1,AKGDb,1.0
WT1,ALAALAD,0.0
WT1,ALAALAr,0.0
WT1,ALAD_L,1.0
WT1,ALAR,0.0
WT1,ALAt2r,0.0
WT1,ALDD1,1.0
WT1,ALDD19x,0.0
WT1,ALDD2x,0.0
WT1,AMAOTr,0.0
WT1,AMID4,0.0
WT1,AMMQT8,0.0
WT1,AMMQT8_2,0.0
WT1,AMPTASECG,0.0
WT1,ANPRT,0.0
WT1,ANS,0.0
WT1,AOXSr,-1.0
WT1,APRAUR,0.0
WT1,ARACHTA,0.0
WT1,ARB_Dabc,0.0
WT1,ARBabc,0.0
WT1,ARBt2r,0.0
WT1,ARGDC,0.0
WT1,ARGDr,0.0
WT1,ARGSL,0.0
WT1,ARGSS,0.0
WT1,ARGt5r,0.0
WT1,ASAD,0.0
WT1,ASNN,0.0
WT1,ASNS1,0.0
WT1,ASNt2r,0.0
WT1,ASP1DC,0.0
WT1,ASPCT,-1.0
WT1,ASPK,0.0
WT1,ASPO5,1.0
WT1,ASPTA,0.0
WT1,ASPt2r,0.0
WT1,AST,0.0
WT1,ATPPRT,0.0
WT1,ATPS4r,0.0
WT1,BACCL,0.0
WT1,BALAt2r,0.0
WT1,BDH,0.0
WT1,BETALDHx,0.0
WT1,BMNMSHS,0.0
WT1,BMNt,0.0
WT1,BPNT,1.0
WT1,BTS2,0.0
WT1,BTS3r,0.0
WT1,CAATPS,0.0
WT1,CAT,1.0
WT1,CAt4,0.0
WT1,CBIAT,0.0
WT1,CBLAT,0.0
WT1,CBPS,0.0
WT1,CDAPPA160,0.0
WT1,CDAPPA160190,0.0
WT1,CDAPPA190,0.0
WT1,CDPMEK,0.0
WT1,CDPPT160,0.0
WT1,CDPPT160190,0.0
WT1,CHLabc,0.0
WT1,CHOLD,0.0
WT1,CHORM,0.0
WT1,CHORS,1.0
WT1,CHRPL,0.0
WT1,CIGAMS,0.0
WT1,CITLr,1.0
WT1,CITabc,0.0
WT1,CLPNS160190,0.0
WT1,CMCBTFL,-1.0
WT1,CMCBTFU,-1.0
WT1,CMLDC,0.0
WT1,CO2t,0.0
WT1,COAt,0.0
WT1,COBALTt5,0.0
WT1,COCHL,0.0
WT1,COt,0.0
WT1,CPC6R,0.0
WT1,CPPPGO,0.0
WT1,CRNabc,0.0
WT1,CS,1.0
WT1,CTPS1,0.0
WT1,CTPS2,0.0
WT1,CYANST,1.0
WT1,CYO1a,1.0
WT1,CYO1b,0.0
WT1,CYRDAAT,0.0
WT1,CYRDAR,0.0
WT1,CYSS,1.0
WT1,CYSTL,0.0
WT1,CYSTS,0.0
WT1,CYTBD,0.0
WT1,CYTBD2,0.0
WT1,CYTD,-1.0
WT1,CYTDK2,0.0
WT1,CYTDt2r,0.0
WT1,CYTK1,0.0
WT1,CYTK2,0.0
WT1,Clt,0.0
WT1,Cuabc,0.0
WT1,Cut1,0.0
WT1,DADA,0.0
WT1,DADK,0.0
WT1,DAGK160,0.0
WT1,DALAOX,0.0
WT1,DALAt2r,0.0
WT1,DAPDC,0.0
WT1,DAPE,0.0
WT1,DASYN160,0.0
WT1,DASYN160190,0.0
WT1,DASYN190190,0.0
WT1,DB4PS,0.0
WT1,DBTSr,0.0
WT1,DCPDP,0.0
WT1,DCPDPP,0.0
WT1,DCPDPS,0.0
WT1,DCPE,-1.0
WT1,DCPT,0.0
WT1,DCTPD,0.0
WT1,DCTPD2,0.0
WT1,DCYTD,0.0
WT1,DDPA,0.0
WT1,DESAT16,1.0
WT1,DESAT18,1.0
WT1,DGC3D,0.0
WT1,DGK1,0.0
WT1,DHAD1,0.0
WT1,DHAD2,0.0
WT1,DHDPRy,0.0
WT1,DHDPS,1.0
WT1,DHFR,0.0
WT1,DHFS,0.0
WT1,DHNAOT,0.0
WT1,DHNPA,1.0
WT1,DHNPA2,1.0
WT1,DHORTS,0.0
WT1,DHPPDA,0.0
WT1,DHPPDA2,0.0
WT1,DHPS2,1.0
WT1,DHQD,0.0
WT1,DHQS,0.0
WT1,DMATT,0.0
WT1,DMPPS,1.0
WT1,DNMPPA,0.0
WT1,DNTPPA,0.0
WT1,DPCOAK,0.0
WT1,DPPS,0.0
WT1,DPR,-1.0
WT1,DRPA,1.0
WT1,DSERt2r,0.0
WT1,DTMPK,0.0
WT1,DURIK1,0.0
WT1,DURIPP,0.0
WT1,DUTPDP,0.0
WT1,DXPRIi,1.0
WT1,DXPS,0.0
WT1,ENO,0.0
WT1,ETHAt,0.0
WT1,EX_acysbmn,0.0
WT1,EX_ala_B,0.0
WT1,EX_ala_D,0.0
WT1,EX_ala_L,0.0
WT1,EX_arab_D,0.0
WT1,EX_arab_L,0.0
WT1,EX_arg_L,0.0
WT1,EX_asn_L,0.0
WT1,EX_asp_L,0.0
WT1,EX_atp,0.0
WT1,EX_bmn,0.0
WT1,EX_ca2,0.0
WT1,EX_chol,0.0
WT1,EX_cit,0.0
WT1,EX_cl,0.0
WT1,EX_co2,0.0
WT1,EX_coa,0.0
WT1,EX_cobalt2,0.0
WT1,EX_crn,0.0
WT1,EX_cu2,0.0
WT1,EX_cytd,0.0
WT1,EX_etha,0.0
WT1,EX_fe2,0.0
WT1,EX_fe3,0.0
WT1,EX_fum,0.0
WT1,EX_gal,0.0
WT1,EX_glc,0.0
WT1,EX_glu_L,0.0
WT1,EX_gly,0.0
WT1,EX_glyb,0.0
WT1,EX_glyc3p,0.0
WT1,EX_glyc,0.0
WT1,EX_gthrd,0.0
WT1,EX_h2,0.0
WT1,EX_h2co3,0.0
WT1,EX_h2o,0.0
WT1,EX_h2s,0.0
WT1,EX_h,0.0
WT1,EX_hdca,0.0
WT1,EX_his_L,0.0
WT1,EX_id3acald,0.0
WT1,EX_ile_L,0.0
WT1,EX_k,0.0
WT1,EX_lac_L,0.0
WT1,EX_lcts,0.0
WT1,EX_leu_L,0.0
WT1,EX_lys_L,0.0
WT1,EX_mal_L,0.0
WT1,EX_malt,0.0
WT1,EX_malthp,0.0
WT1,EX_meoh,0.0
WT1,EX_met_L,0.0
WT1,EX_mg2,0.0
WT1,EX_na1,0.0
WT1,EX_nh4,0.0
WT1,EX_no2,0.0
WT1,EX_no3,0.0
WT1,EX_no,0.0
WT1,EX_o2,0.0
WT1,EX_ocdca,0.0
WT1,EX_orn,0.0
WT1,EX_pac,0.0
WT1,EX_pdima,0.0
WT1,EX_phdca,0.0
WT1,EX_phe_L,0.0
WT1,EX_pi,0.0
WT1,EX_ppa,0.0
WT1,EX_ppdima,0.0
WT1,EX_pro_L,0.0
WT1,EX_pyr,0.0
WT1,EX_rib_D,0.0
WT1,EX_ser_D,0.0
WT1,EX_ser_L,0.0
WT1,EX_skm,0.0
WT1,EX_so4,0.0
WT1,EX_succ,0.0
WT1,EX_tartr_L,0.0
WT1,EX_thr_L,0.0
WT1,EX_tre,0.0
WT1,EX_trp_L,0.0
WT1,EX_tsul,0.0
WT1,EX_ttdca,0.0
WT1,EX_tyr_L,0.0
WT1,EX_val_L,0.0
WT1,EX_ac,0.0
WT1,EX_4abz,0.0
WT1,EX_for,0.0
WT1,EX_akg,0.0
WT1,EX_gua,0.0
WT1,EX_ad,0.0
WT1,Adt,0.0
WT1,EX_urea,0.0
WT1,FACOAE140,0.0
WT1,FACOAE160,0.0
WT1,FACOAE180,0.0
WT1,FACOAL140,1.0
WT1,FACOAL160,0.0
WT1,FACOAL161,1.0
WT1,FACOAL180,1.0
WT1,FACOAL181,0.0
WT1,FACOAL200,1.0
WT1,FACOAL80,0.0
WT1,FACOALPHDCA,0.0
WT1,FACOALPREPH,1.0
WT1,FAH4,0.0
WT1,FAMPL1,1.0
WT1,FAMPL2,1.0
WT1,FAMPL3,1.0
WT1,FAMPL4,1.0
WT1,FAMPL5,1.0
WT1,FAO1,0.0
WT1,FAO10,0.0
WT1,FAO11,0.0
WT1,FAO2,0.0
WT1,FAO3,0.0
WT1,FAS100,-1.0
WT1,FAS120,-1.0
WT1,FAS140,0.0
WT1,FAS160,-1.0
WT1,FAS161,-1.0
WT1,FAS180,-1.0
WT1,FAS181,-1.0
WT1,FAS200,-1.0
WT1,FAS240_L,-1.0
WT1,FAS260,-1.0
WT1,FAS80_L,-1.0
WT1,FASPHDCA,0.0
WT1,FASm1601,-1.0
WT1,FASm180,-1.0
WT1,FASm1801,-1.0
WT1,FASm2001,-1.0
WT1,FASm2002,-1.0
WT1,FASm220,0.0
WT1,FASm2201,0.0
WT1,FASm2202,0.0
WT1,FASm240,0.0
WT1,FASm2401,0.0
WT1,FASm2402,0.0
WT1,FASm260,0.0
WT1,FASm2601,0.0
WT1,FASm2602,0.0
WT1,FASm280,0.0
WT1,FASm2801,0.0
WT1,FASm2802,0.0
WT1,FASm300,0.0
WT1,FASm3001,0.0
WT1,FASm320,0.0
WT1,FASm340,0.0
WT1,FBA,0.0
WT1,FBP,1.0
WT1,FCLPA,0.0
WT1,FCLT,0.0
WT1,FCLT2,0.0
WT1,FCOAH2,0.0
WT1,FDH,0.0
WT1,FE3Ri,0.0
WT1,FETRANS,0.0
WT1,FHL,0.0
WT1,FMNAT,0.0
WT1,FOLD3,1.0
WT1,FOLR2,-1.0
WT1,FOMETR,0.0
WT1,FORMCOAL,0.0
WT1,FRD,0.0
WT1,FRD2,0.0
WT1,FRD3,0.0
WT1,FRRPPDIMAS,0.0
WT1,FTHFCL,0.0
WT1,FTHFD,0.0
WT1,FUM,0.0
WT1,FUMt2r,0.0
WT1,G16MTM1,0.0
WT1,G16MTM10,0.0
WT1,G16MTM2,0.0
WT1,G16MTM4,0.0
WT1,G16MTM5,0.0
WT1,G16MTM6,0.0
WT1,G16MTM7,0.0
WT1,G16MTM8,0.0
WT1,G16MTM9,0.0
WT1,G1PACT,0.0
WT1,G1PTT,0.0
WT1,G1SATi,0.0
WT1,G3PAT160,0.0
WT1,G3PAT190,0.0
WT1,G5SADs,0.0
WT1,G5SD,0.0
WT1,G5SD2,0.0
WT1,G6PDH2,0.0
WT1,GALFT,0.0
WT1,GALKr,-1.0
WT1,GALT,0.0
WT1,GALUi,0.0
WT1,GALt2,0.0
WT1,GAPD,0.0
WT1,GARFT,0.0
WT1,GCCa,1.0
WT1,GCCb,0.0
WT1,GCCc,0.0
WT1,GF6PTAr,0.0
WT1,GFUCS,0.0
WT1,GGLUCT2,0.0
WT1,GHMT2,1.0
WT1,GK1,0.0
WT1,GLCabc,0.0
WT1,GLGC,0.0
WT1,GLNS,1.0
WT1,GLNSP1,0.0
WT1,GLNSP2,0.0
WT1,GLNSP3,0.0
WT1,GLU5K,0.0
WT1,GLUCYS,0.0
WT1,GLUDC,-1.0
WT1,GLUDx,0.0
WT1,GLUPRT,1.0
WT1,GLUR,0.0
WT1,GLUSy,0.0
WT1,GLUt2r,0.0
WT1,GLXO1,0.0
WT1,GLYBabc,0.0
WT1,GLYC3Pabc,-1.0
WT1,GLYCK,0.0
WT1,GLYCL,0.0
WT1,GLYCTO1,0.0
WT1,GLYCTO2,0.0
WT1,GLYCTO3,0.0
WT1,GLYCTO4,0.0
WT1,GLYCt,0.0
WT1,GLYK,0.0
WT1,GLYt2r,0.0
WT1,GMAND,0.0
WT1,GMPS2,0.0
WT1,GMT1,1.0
WT1,GND,0.0
WT1,GPDDA2,1.0
WT1,GRTT,1.0
WT1,GSNK,0.0
WT1,GTHOr,0.0
WT1,GTHRDt2,-1.0
WT1,GTHS,0.0
WT1,GTMLT,-1.0
WT1,GTPCI,1.0
WT1,GTPCII,0.0
WT1,GTPCII2,0.0
WT1,GTPDPK,1.0
WT1,GTPH1,1.0
WT1,GUACYC,-1.0
WT1,GUAD,0.0
WT1,GUAPRT,0.0
WT1,H2CO3D,0.0
WT1,H2CO3TP,0.0
WT1,H2Ot,0.0
WT1,H2St1,0.0
WT1,H2td,0.0
WT1,HCO3E,0.0
WT1,HCYSMT,0.0
WT1,HDCAt2,0.0
WT1,HEX1,0.0
WT1,HISTD,1.0
WT1,HISTP,0.0
WT1,HISt2r,0.0
WT1,HMBS,0.0
WT1,HMPK1,0.0
WT1,HMPK2,0.0
WT1,HMPK3,0.0
WT1,HMPK4,0.0
WT1,HOPNTAL,1.0
WT1,HPPK,1.0
WT1,HPPK2,1.0
WT1,HSDy,0.0
WT1,HSERTA,0.0
WT1,HSK,0.0
WT1,HSST,0.0
WT1,HSTPT,0.0
WT1,HXPRT,0.0
WT1,ICDHy,0.0
WT1,ICHORSi,0.0
WT1,ICL,0.0
WT1,ID3ACALDt,0.0
WT1,IG3PS,0.0
WT1,IGAMD,0.0
WT1,IGPDH,0.0
WT1,IGPS,0.0
WT1,ILETA,0.0
WT1,ILEt2r,0.0
WT1,IMPC,0.0
WT1,IMPD,0.0
WT1,INDPYRD,0.0
WT1,INSH,-1.0
WT1,INSK,0.0
WT1,IPDDI,0.0
WT1,IPDPS,0.0
WT1,IPMD,0.0
WT1,IPPMIa,0.0
WT1,IPPMIb,0.0
WT1,IPPS,1.0
WT1,KARA1i,0.0
WT1,KARA2i,0.0
WT1,Kabc,0.0
WT1,Kt3r,0.0
WT1,LACZ,0.0
WT1,LCTSabc,-1.0
WT1,LDH_L,0.0
WT1,LEUTA,0.0
WT1,LEUt2r,0.0
WT1,LO,0.0
WT1,LPLIPAL2E160,0.0
WT1,LPLIPAL2E180,1.0
WT1,LYSt5r,0.0
WT1,L_LACD,1.0
WT1,L_LACD2,1.0
WT1,L_LACD3,1.0
WT1,L_LACt2r,0.0
WT1,L_LACt3,0.0
WT1,MALS,1.0
WT1,MALT,0.0
WT1,MALTHPabc,0.0
WT1,MALTabc,0.0
WT1,MALt2r,0.0
WT1,MAN1PT,0.0
WT1,MAN1PT2,0.0
WT1,MAN6PI,0.0
WT1,MANAT1,0.0
WT1,MANAT2,0.0
WT1,MANAT3,0.0
WT1,MCBTS,-1.0
WT1,MCBTS2,-1.0
WT1,MCBTS3,-1.0
WT1,MCD,0.0
WT1,MCOATA,1.0
WT1,MDFDH,0.0
WT1,MDH,0.0
WT1,ME1,0.0
WT1,MECDPDH,0.0
WT1,MECDPS,1.0
WT1,MEOHt2,0.0
WT1,MEPCT,1.0
WT1,METAT,0.0
WT1,METOX1s,0.0
WT1,METOX2s,0.0
WT1,METS,0.0
WT1,METSOXR1,0.0
WT1,METSOXR2,0.0
WT1,METabc,0.0
WT1,MGt5,0.0
WT1,MHPGLUT,1.0
WT1,MI1PP,1.0
WT1,MI1PS,1.0
WT1,MI3PP,1.0
WT1,MMCD,1.0
WT1,MME,1.0
WT1,MMM2r,0.0
WT1,MMSAD1,1.0
WT1,MMSAD2,1.0
WT1,MN6PP,0.0
WT1,MNDNS1,0.0
WT1,MNDNS2,0.0
WT1,MOHMT,1.0
WT1,MPML,1.0
WT1,MSHAMID,1.0
WT1,MSHOXH,0.0
WT1,MSHS,0.0
WT1,MTAN,0.0
WT1,MTHFC,0.0
WT1,MTHFD,0.0
WT1,MTHFR2,0.0
WT1,MTI,0.0
WT1,MYC1CYC1,0.0
WT1,MYC1CYC2,0.0
WT1,MYC1CYC3,0.0
WT1,MYC1CYC4,0.0
WT1,MYC1CYC5,0.0
WT1,MYC1M1,0.0
WT1,MYC1M2,0.0
WT1,MYC2CYC1,0.0
WT1,MYC2CYC2,0.0
WT1,MYC2CYC3,0.0
WT1,MYCON1,1.0
WT1,MYCON2,1.0
WT1,MYCON3,1.0
WT1,MYCON4,1.0
WT1,MYCON5,1.0
WT1,MYCSacp50,0.0
WT1,MYCSacp56,0.0
WT1,MYCSacp58,0.0
WT1,MYCTR,0.0
WT1,MYCTR2,0.0
WT1,NADH10,-1.0
WT1,NADH2r,-1.0
WT1,NADH5,1.0
WT1,NADH9,-1.0
WT1,NADK,0.0
WT1,NADS2,0.0
WT1,NADTRHD,0.0
WT1,NAKtr,0.0
WT1,NAPRTr,0.0
WT1,NARK,0.0
WT1,NAt3_1,-1.0
WT1,NDPK1,0.0
WT1,NDPK2,0.0
WT1,NDPK3,0.0
WT1,NDPK4,0.0
WT1,NDPK5,0.0
WT1,NDPK6,0.0
WT1,NDPK7,0.0
WT1,NDPK8,0.0
WT1,NH4OHDs,0.0
WT1,NH4t,0.0
WT1,NNAM,1.0
WT1,NNAT,0.0
WT1,NNDMBRT,0.0
WT1,NNDPR,1.0
WT1,NO,0.0
WT1,NO3R1,1.0
WT1,NO3R2,0.0
WT1,NOt,0.0
WT1,NPHS,0.0
WT1,NTD1,0.0
WT1,NTD10,0.0
WT1,NTD11,0.0
WT1,NTD2,0.0
WT1,NTD3,0.0
WT1,NTD4,0.0
WT1,NTD5,0.0
WT1,NTD6,0.0
WT1,NTD7,0.0
WT1,NTD8,0.0
WT1,NTD9,0.0
WT1,NTPP2,0.0
WT1,NTPP3,0.0
WT1,NTPP4,-1.0
WT1,NTPP5,0.0
WT1,NTPP7,0.0
WT1,NTPP8,0.0
WT1,NTPTP1,0.0
WT1,NTPTP2,0.0
WT1,NTRIR2x,0.0
WT1,NTRIRx,0.0
WT1,NTRIRy,0.0
WT1,O16RHAT,0.0
WT1,O2t,0.0
WT1,OCBT,0.0
WT1,OCDCAt2,0.0
WT1,OCOAT1r,0.0
WT1,OMCDC,0.0
WT1,OMPDC,0.0
WT1,OPAH,0.0
WT1,ORNTA,0.0
WT1,ORNTAC,0.0
WT1,ORNt,0.0
WT1,ORPT,0.0
WT1,OXACOAL,0.0
WT1,OXCDC,0.0
WT1,OXGDC,0.0
WT1,P5CD,-1.0
WT1,P5CR,0.0
WT1,P5CRx,0.0
WT1,PACt2r,0.0
WT1,PANTS,0.0
WT1,PAPA160,-1.0
WT1,PAPPT1,0.0
WT1,PAPPT2,0.0
WT1,PAPPT3,0.0
WT1,PAPR,0.0
WT1,PATS,0.0
WT1,PC,0.0
WT1,PC11M,-1.0
WT1,PC17M,0.0
WT1,PC20M,0.0
WT1,PC6AR,0.0
WT1,PC6YM,-1.0
WT1,PC8XM,0.0
WT1,PDE1,1.0
WT1,PDE4,1.0
WT1,PDH,0.0
WT1,PDHa,0.0
WT1,PDHbr,1.0
WT1,PDHc,0.0
WT1,PDIMAS,0.0
WT1,PDIMAT,0.0
WT1,PDX5PO,-1.0
WT1,PEAMNO,0.0
WT1,PEPCK_re,1.0
WT1,PFK,0.0
WT1,PFL,0.0
WT1,PGAMT,0.0
WT1,PGCD,0.0
WT1,PGI,0.0
WT1,PGK,0.0
WT1,PGL,0.0
WT1,PGLS,0.0
WT1,PGLYCP,0.0
WT1,PGM,0.0
WT1,PGMT,0.0
WT1,PGPP160,0.0
WT1,PGPP160190,0.0
WT1,PGPP190,0.0
WT1,PGPPT3,0.0
WT1,PGSA160,0.0
WT1,PGSA160190,0.0
WT1,PGSA190,0.0
WT1,PHDCATA,0.0
WT1,PHDCAt,0.0
WT1,PHETA1,0.0
WT1,PHEt2r,0.0
WT1,PHTHDLS,0.0
WT1,PHTHDLS2,0.0
WT1,PHTHS,-1.0
WT1,PHTHS2,-1.0
WT1,PHYCBOXL,0.0
WT1,PIabc,0.0
WT1,PLCD,-1.0
WT1,PLIPA1E160,0.0
WT1,PLIPA1E180,0.0
WT1,PMANM,0.0
WT1,PMDPHT,0.0
WT1,PMPK,0.0
WT1,PNCDC,0.0
WT1,PNTK,0.0
WT1,PPA,0.0
WT1,PPAtr,0.0
WT1,PPBNGS,0.0
WT1,PPCDC,1.0
WT1,PPCOAC,0.0
WT1,PPDIMAS,0.0
WT1,PPDIMAT,0.0
WT1,PPDK,0.0
WT1,PPGKr,0.0
WT1,PPK2,0.0
WT1,PPNCL3,1.0
WT1,PPND,0.0
WT1,PPNDH,1.0
WT1,PPPGO,0.0
WT1,PPTGS,0.0
WT1,PPTGS_TB1,0.0
WT1,PPTGS_TB2,0.0
WT1,PRAGSr,0.0
WT1,PRAIS,1.0
WT1,PRAIi,0.0
WT1,PRAMPC,0.0
WT1,PRASCS,-1.0
WT1,PRATPP,-1.0
WT1,PRDX,0.0
WT1,PREPHACPH,0.0
WT1,PREPPACPH,0.0
WT1,PREPTHS,0.0
WT1,PREPTHS2,0.0
WT1,PREPTTA,0.0
WT1,PRFGS,0.0
WT1,PRMICIi,0.0
WT1,PROD2,-1.0
WT1,PROabc,0.0
WT1,PROt2r,0.0
WT1,PRPPS,0.0
WT1,PSCVT,0.0
WT1,PSD160,0.0
WT1,PSERT,0.0
WT1,PSP_L,0.0
WT1,PSSA160,0.0
WT1,PTAr,0.0
WT1,PTPATi,-1.0
WT1,PUNP1,0.0
WT1,PUNP2,0.0
WT1,PUNP3,0.0
WT1,PUNP4,0.0
WT1,PUNP5,0.0
WT1,PUNP6,0.0
WT1,PUNP7,0.0
WT1,PYAM5PO,1.0
WT1,PYDXNO,-1.0
WT1,PYDXO,-1.0
WT1,PYK,0.0
WT1,PYRDC,0.0
WT1,PYRt2r,0.0
WT1,QRr,0.0
WT1,QULNS,1.0
WT1,R05217,0.0
WT1,R05219,0.0
WT1,R05224,0.0
WT1,RBFK,0.0
WT1,RBFSa,0.0
WT1,RBFSb,0.0
WT1,RBK,0.0
WT1,RIBabc,0.0
WT1,RNDR1,1.0
WT1,RNDR2,1.0
WT1,RNDR3,1.0
WT1,RNDR4,1.0
WT1,RNTR4,0.0
WT1,RPE,0.0
WT1,RPI,0.0
WT1,RPPDIMAS,0.0
WT1,RRPPDIMAS,-1.0
WT1,RZ5PP,0.0
WT1,SADH,0.0
WT1,SADT,1.0
WT1,SDPDS,0.0
WT1,SDPTA,0.0
WT1,SERAT,0.0
WT1,SERD_D,0.0
WT1,SERD_L,0.0
WT1,SERt2r,0.0
WT1,SGDS,0.0
WT1,SGSAD,0.0
WT1,SHCHD2,0.0
WT1,SHCHD3,0.0
WT1,SHCHF,0.0
WT1,SHK3Dr,0.0
WT1,SHKK,0.0
WT1,SHSL1r,0.0
WT1,SHSL4r,0.0
WT1,SKMt2,0.0
WT1,SOTA,0.0
WT1,SPMS,0.0
WT1,SPODM,0.0
WT1,SSALx,0.0
WT1,SSALy,0.0
WT1,SUCBZL,0.0
WT1,SUCBZS,0.0
WT1,SUCCt2r,0.0
WT1,SUCD1i,0.0
WT1,SUCOAS,0.0
WT1,SULabc,0.0
WT1,TALA,0.0
WT1,TARTD,0.0
WT1,TARTRt7,0.0
WT1,TATS,0.0
WT1,TDMS1,0.0
WT1,TDMS2,0.0
WT1,TDMS3,0.0
WT1,TDMS4,0.0
WT1,TDPDRE,0.0
WT1,TDPDRR,0.0
WT1,TDPGDH,0.0
WT1,THDPS,0.0
WT1,THFGLUS,0.0
WT1,THMDP,-1.0
WT1,THRD_Lr,0.0
WT1,THRS,0.0
WT1,THRt2r,0.0
WT1,THZPSN,0.0
WT1,TKT1,0.0
WT1,TKT2,0.0
WT1,TMDK1,0.0
WT1,TMDPP,0.0
WT1,TMDS,1.0
WT1,TMHAS1,0.0
WT1,TMHAS2,0.0
WT1,TMHAS3,0.0
WT1,TMHAS4,0.0
WT1,TMHAS5,0.0
WT1,TMHAS6,0.0
WT1,TMN,0.0
WT1,TMPKr,0.0
WT1,TMPPP,0.0
WT1,TPI,0.0
WT1,TRDR,1.0
WT1,TRE6PP,1.0
WT1,TRE6PS,0.0
WT1,TRESULT,0.0
WT1,TREabc,0.0
WT1,TRIATS,0.0
WT1,TRPS1,-1.0
WT1,TRPS2,-1.0
WT1,TRPS3,-1.0
WT1,TRPTA,0.0
WT1,TRPt2r,0.0
WT1,TSULabc,0.0
WT1,TTDCAt2,0.0
WT1,TYRTA,0.0
WT1,TYRt2r,0.0
WT1,UAAGDS,1.0
WT1,UAAGLS1,0.0
WT1,UAAGLS2,0.0
WT1,UAGCVT,0.0
WT1,UAGDP,0.0
WT1,UAGPT1,1.0
WT1,UAGPT2,1.0
WT1,UAGPT3,1.0
WT1,UAMAGS,0.0
WT1,UAMAS,0.0
WT1,UAMRH,0.0
WT1,UAPGR,0.0
WT1,UDCPDP,0.0
WT1,UDCPDPS,0.0
WT1,UDPDPS,0.0
WT1,UDPDPS2,0.0
WT1,UDPG4E,1.0
WT1,UDPGALM,0.0
WT1,UDPGD,-1.0
WT1,UGAGDS,1.0
WT1,UGGPT3,1.0
WT1,UGLDDS1,1.0
WT1,UGLDDS2,1.0
WT1,UGMAGS,0.0
WT1,UGMAS,0.0
WT1,UGMDDS,1.0
WT1,UGMDDS2,1.0
WT1,UMPK,0.0
WT1,UPP3MT,0.0
WT1,UPP3S,0.0
WT1,UPPDC1,0.0
WT1,UPPDC2,0.0
WT1,UPPRT,0.0
WT1,UREA,0.0
WT1,URIDK2r,0.0
WT1,URIK2,0.0
WT1,VALTA,0.0
WT1,VALt2r,0.0
WT1,XPPT,0.0
WT1,XYLK,0.0
WT1,YUMPS,0.0
WT1,S7PI,0.0
WT1,GMHEPK,-1.0
WT1,HMEDS,1.0
WT1,HMEDR,1.0
WT1,FRTT,0.0
WT1,2MCD,0.0
WT1,2MCS,0.0
WT1,2MID,0.0
WT1,2MIL,0.0
WT1,Gln_LT,0.0
WT1,TREP,0.0
WT1,HDECH,0.0
WT1,DTBTST,0.0
WT1,IPDPUDCT,0.0
WT1,ACHMSSH,0.0
WT1,PDBL_1,0.0
WT1,PDBL_2,0.0
WT1,PDBL_3,0.0
WT1,PDBL_4,0.0
WT1,EX_ni2,0.0
WT1,Ni2t,-1.0
WT1,EX_mn2,0.0
WT1,Mn2t,-1.0
WT1,2O4EH,1.0
WT1,G6PDH,0.0
WT1,2PLS,0.0
WT1,LPPGS,0.0
WT1,DMHDRFS,0.0
WT1,LPFPLT,0.0
WT1,GF4GL_0,0.0
WT1,GF4GL_1,0.0
WT1,MBP_1,-1.0
WT1,FAD_1,0.0
WT1,FAD_2,0.0
WT1,FAD_3,0.0
WT1,FAD_4,0.0
WT1,FAD_5,0.0
WT1,FAD_6,0.0
WT1,FAD_7,0.0
WT1,FAD_8,0.0
WT1,FAD_9,0.0
WT1,FAD_10,0.0
WT1,FAD_11,0.0
WT1,FAD_12,0.0
WT1,FAD_13,0.0
WT1,FAD_14,0.0
WT1,FAD_15,0.0
WT1,FAD_16,0.0
WT1,FAD_17,0.0
WT1,FAD_18,0.0
WT1,FAD_19,0.0
WT1,FAD_20,0.0
