sample,reaction,mean_degree_centrality,pagerank,eigenvalue,betweeness,closeness
PknF_IND2,R05219,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,R05224,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,RBFK,0.071520692010492,0.0007692292806755331,0.0026170804341617672,0.0,0.08911607787733854
PknF_IND2,RBFSa,0.42500251385782856,0.0024951408491698133,0.07577538500527238,0.0,0.10352718827474737
PknF_IND2,RBFSb,0.42500251385782856,0.002495140849169894,0.07577538500524668,0.0,0.10352718827474737
PknF_IND2,RBK,0.07395945988495187,0.0007449451213277404,0.004773549884124667,0.00011832730395891249,0.09044604994180959
PknF_IND2,RIBabc,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,RNDR1,0.4249509414011197,0.002494883382199137,0.07576475573724811,6.64760134600632e-06,0.1035270434082
PknF_IND2,RNDR2,0.42495211200419175,0.0024948840347970218,0.07576518212419035,4.786272969124551e-05,0.10352730147944614
PknF_IND2,RNDR3,0.22088724729041487,0.001533322494376807,0.031202993953045186,0.005685028671104605,0.10396982733880467
PknF_IND2,RNDR4,0.062310365307749846,0.0006522988020592131,0.003993720982779508,0.0,0.08601602384777578
PknF_IND2,RNTR4,0.08210406709932135,0.0007811863429013752,0.006536162825525607,0.0,0.09085366197566325
PknF_IND2,RPE,0.023309622026536633,0.00037411217989291096,0.0010366762701870683,0.0,0.06373024247095219
PknF_IND2,RPI,0.05069703067272724,0.0005759900855205769,0.0031454041007833583,0.003162928720429807,0.0749033518579176
PknF_IND2,RPPDIMAS,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,RRPPDIMAS,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,RZ5PP,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,SADH,0.04527059705756379,0.0005570208856143723,0.0016874615006702216,6.64760134600634e-05,0.0729840615428049
PknF_IND2,SADT,0.06144466053560767,0.0006470919414402008,0.0040775218869210355,0.0007529516457909812,0.07727270944022835
PknF_IND2,SDPDS,0.05449276191583976,0.0006375425497207742,0.0021101588093309994,0.00025083615745596856,0.07027957282474517
PknF_IND2,SDPTA,0.05449276191583976,0.0006375425497207742,0.0021101588093309994,0.00025083615745596856,0.07027957282474517
PknF_IND2,SERAT,0.09741817198300637,0.000997584412933533,0.003174872773777234,0.001455824694775384,0.1007238605933658
PknF_IND2,SERD_D,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,SERD_L,0.05893793233757245,0.0006438598184301235,0.0030012691447525324,0.0,0.0815999094431
PknF_IND2,SERt2r,0.06342338882372399,0.0006977056107882219,0.0025517871802541447,0.0,0.08436589136402992
PknF_IND2,SGDS,0.04527059705756379,0.0005570208856143723,0.0016874615006702216,6.64760134600634e-05,0.0729840615428049
PknF_IND2,SGSAD,0.04527059705756379,0.0005570208856143723,0.0016874615006702216,6.64760134600634e-05,0.0729840615428049
PknF_IND2,SHCHD2,0.4254852967311813,0.0024975471201757883,0.0758752084132126,0.0,0.10352791902084296
PknF_IND2,SHCHD3,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,SHCHF,0.42539586541669316,0.0024971026757866534,0.07585661438215892,0.0,0.10352778368930492
PknF_IND2,SHK3Dr,0.06938279908935709,0.0007098775827294384,0.004425902889881579,0.00025626503188854366,0.08183094872119924
PknF_IND2,SHKK,0.07450149227525799,0.0007423681043763381,0.005157897598300731,0.0007347815354452312,0.08693078769551371
PknF_IND2,SHSL1r,0.04989027673440793,0.0005805185748719686,0.002055947530321228,1.329520269201264e-06,0.07896995356077327
PknF_IND2,SHSL4r,0.06771498734157735,0.0007135572527798366,0.003575925881890992,6.514649319086193e-05,0.08548380303167485
PknF_IND2,SKMt2,0.048263229112440034,0.0005731933459521899,0.001877845254153143,3.190848646083034e-05,0.07691520657015723
PknF_IND2,SOTA,0.04527059705756379,0.0005570208856143723,0.0016874615006702216,6.64760134600634e-05,0.0729840615428049
PknF_IND2,SPMS,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,SPODM,0.0,0.00016017948930633543,1.3453345746102042e-22,0.0,0.0
PknF_IND2,SSALx,0.09841689884531854,0.0009923194535473665,0.003975684510189125,0.0017443305931920583,0.10045943702161583
PknF_IND2,SSALy,0.04154107258154646,0.0004906108269798127,0.0026822119153925546,0.0,0.06833644478773102
PknF_IND2,SUCBZL,0.4253746184542817,0.0024969967183016057,0.07585222328367115,0.0,0.10352775175897481
PknF_IND2,SUCBZS,0.4253947343996827,0.0024970970351459224,0.07585638073740425,0.0,0.10352778185307682
PknF_IND2,SUCCt2r,0.0415148827020512,0.0004864740734215077,0.0028684593465612284,1.0636162153610112e-05,0.06899893615767548
