,kinase,metabolite,total_genes,kinase_targets,metabolite_network_size,overlap,p-value,adjusted p-value
7491,PknJ,gar_c,1011,8,23.0,0.0,0.16868637109336185,0.21345124680001917
7492,PknJ,fgam_c,1011,8,25.0,0.0,0.18210120037654814,0.2282267964031082
7493,PknJ,mlthf_c,1011,8,54.0,0.0,0.3564176962344236,0.36674385074951515
7494,PknJ,lpro_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7495,PknJ,alpro_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7496,PknJ,dhlpro_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7497,PknJ,gdpddman_c,1011,8,41.0,0.0,0.28277792183037065,0.308935266542649
7498,PknJ,gluala_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7499,PknJ,5oxpro_c,1011,8,11.0,0.0,0.08407948548022577,0.12412918122672385
7500,PknJ,glycogen_c,1011,8,21.0,0.0,0.15507941395809738,0.19788934296148983
7501,PknJ,adpglc_c,1011,8,36.0,0.0,0.2525514172642089,0.2904428606011528
7502,PknJ,glc__D_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7503,PknJ,uaaAgla_c,1011,8,51.0,0.0,0.34003884685164243,0.3513758222799121
7504,PknJ,uaaAgtla_c,1011,8,55.0,0.0,0.3617976945940102,0.37166659722575623
7505,PknJ,uaaGgla_c,1011,8,51.0,0.0,0.34003884685164243,0.3513758222799121
7506,PknJ,uaaGgtla_c,1011,8,55.0,0.0,0.3617976945940102,0.37166659722575623
7507,PknJ,uaagmda_c,1011,8,51.0,0.0,0.34003884685164243,0.3513758222799121
7508,PknJ,uaagtmda_c,1011,8,55.0,0.0,0.3617976945940102,0.37166659722575623
7509,PknJ,glucys_c,1011,8,26.0,1.0,0.016198806943799302,0.036559044165336285
7510,PknJ,pram_c,1011,8,22.0,0.0,0.16190705505742592,0.2055504909646496
7511,PknJ,glu__D_c,1011,8,13.0,0.0,0.09868287082083739,0.13544973879685837
7512,PknJ,trnaglu_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7513,PknJ,glx_c,1011,8,13.0,0.0,0.09868287082083739,0.13544973879685837
7514,PknJ,oxa_c,1011,8,13.0,0.0,0.09868287082083739,0.13544973879685837
7515,PknJ,glyc__R_c,1011,8,18.0,0.0,0.13430358313182936,0.1754843885383159
7516,PknJ,3pg_c,1011,8,13.0,0.0,0.09868287082083739,0.13544973879685837
7517,PknJ,glyclt_c,1011,8,279.0,1.0,0.6952237449837072,0.6957117191354054
7518,PknJ,xmp_c,1011,8,37.0,0.0,0.25868432871229746,0.2969825837511479
7519,PknJ,6pgc_c,1011,8,19.0,0.0,0.1412779752113312,0.18311093410507603
7520,PknJ,g3pe_c,1011,8,30.0,0.0,0.21481294665749673,0.25266154480162845
7521,PknJ,gsn_c,1011,8,38.0,0.0,0.2647731637947426,0.2970852022899053
7522,PknJ,gthox_c,1011,8,27.0,1.0,0.017424968795769276,0.03890406903395467
7523,PknJ,gthrd_c,1011,8,26.0,1.0,0.016198806943799302,0.036559044165336285
7524,PknJ,gdptp_c,1011,8,40.0,0.0,0.27681969065139134,0.3030894693034433
